epoch,loss,val_loss
80,33176.31640625,36998.2734375
81,32947.390625,35831.046875
82,33136.796875,35870.00390625
83,33200.23828125,35820.078125
84,33090.87109375,35687.12890625
85,32974.1875,35493.515625
86,32652.705078125,35803.8984375
87,33241.51953125,35477.89453125
88,32845.296875,35447.3359375
89,33430.578125,35562.9765625
90,32892.1796875,35482.62109375
91,32802.91796875,35471.9453125
92,32444.54296875,35457.91015625
93,32686.76953125,35428.265625
94,32848.65625,35287.99609375
95,32504.810546875,35252.69140625
96,32680.099609375,35279.90625
97,32850.734375,35188.52734375
98,32725.419921875,35157.890625
99,32451.443359375,35503.38671875
100,32404.693359375,35176.2109375
101,32460.6015625,35449.6796875
102,32322.70703125,35586.3828125
103,32468.849609375,35012.84765625
104,32188.177734375,35093.1640625
105,32296.546875,35201.29296875
106,32319.099609375,35422.8984375
107,32381.40234375,34967.0546875
108,32085.0859375,35061.3125
109,32393.4296875,34984.26171875
110,31866.71484375,35159.453125
111,31591.673828125,34850.4140625
112,31977.021484375,34991.9375
113,31981.806640625,34764.11328125
114,32066.6875,35519.22265625
115,31628.00390625,35079.7578125
116,31645.185546875,34768.13671875
117,31924.3984375,34988.82421875
118,31704.57421875,34610.26171875
119,31749.42578125,34588.01953125
120,31929.130859375,34572.55859375
121,31704.43359375,34596.53125
122,31508.666015625,34741.359375
123,31793.48046875,34599.19140625
124,31453.99609375,34620.8515625
125,31543.521484375,34852.70703125
126,31518.619140625,34512.29296875
127,31047.2578125,34755.7265625
128,31477.2265625,34498.96484375
129,31426.19921875,34516.234375
130,31235.42578125,35066.01171875
131,31176.8828125,34506.76953125
132,31267.75,34317.38671875
133,31073.2578125,34956.25
134,31257.203125,34221.84375
135,31292.642578125,34538.98046875
136,30891.533203125,34191.32421875
137,31162.62109375,34589.0390625
138,31257.982421875,34113.55859375
139,30757.822265625,34304.09765625
140,30845.876953125,34079.46484375
141,31136.546875,34049.01953125
142,31090.759765625,34403.0234375
143,30822.7734375,34088.046875
144,30668.869140625,35469.25390625
145,30716.240234375,35444.7734375
146,30799.302734375,33914.74609375
147,30430.958984375,33883.3984375
148,30612.7734375,33882.78125
149,30801.552734375,34582.625
150,30257.474609375,33851.29296875
151,30412.955078125,33858.16796875
152,30048.849609375,33799.96875
153,30588.068359375,34431.5078125
154,30265.330078125,34021.54296875
155,30308.126953125,34657.234375
